Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
"As environmental technicians, we must be up to date with which types of laws?",Local laws,State laws,Federal laws,All of these,D
"For the EPA 608 Universal Certification, how many questions will you receive?",100,50,25,125,A
"If you need to get Type III certification, which of the following will be on your exam?",50 questions - 25 Core questions and 25 Type III questions,100 questions - 25 from each Type,25 questions - Only Type III questions,50 questions - 25 Type I and 25 Type III questions,A
What is the passing grade for all EPA certifications?,70%,60%,80%,90%,A
"Once you pass the EPA exam, the regulations you learned will never change. Is this statement True or False?",True,False,,,B
Do natural events like volcanic eruptions contribute to chlorine in the stratosphere?,"Yes, chlorine can come from natural sources such as volcanoes, but they are not the primary source","No, volcanoes do not release chlorine","Yes, and they are the only source of chlorine","No, chlorine only comes from refrigerants",A
Ground level ozone is what absorbs and reflects harmful UV rays from the sun. Is this statement True or False?,True,False,,,B
In which of the following ways does ozone depletion affect humans?,Increased risk of skin cancer,Increased risk of cataracts,Both A and B,Neither A nor B,C
Is there evidence that refrigerants are in the stratosphere?,Yes,No,,,A
Which of the following statements is TRUE about chlorine?,A single chlorine atom can survive in the atmosphere for years,Chlorine dissolves instantly in water,Chlorine is heavier than ozone and sinks immediately,Chlorine is harmless to the ozone layer,A
Ozone has __ atoms of oxygen.,3,2,1,4,A
The majority of ozone is located in the Troposphere. Is this statement True or False?,True,False,,,B
"How many molecules of ozone can ""three"" molecules of chlorine destroy?",300000,100000,600000,20000,C
What is the major function of ozone in the stratosphere?,Absorb and reflect UV rays from the sun,Regulate the earth's temperature,Provide oxygen for breathing,Filter out air pollutants,A
What is the primary source of chlorine in the Stratosphere?,Emissions of refrigerant chemicals such as CFCs and HCFCs by humans,Volcanic eruptions,Ocean spray,Industrial smoke stacks,A
Which element is primarily responsible for stratospheric ozone depletion?,Chlorine,Fluorine,Carbon,Hydrogen,A
Which of the following are effects of ozone depletion?,Decreasing crop yields,Increased global warming,More frequent hurricanes,Higher sea levels,A
Which refrigerant chemicals are responsible for the destruction of the ozone layer?,CFCs and HCFCs,HFCs and HFOs,Ammonia and Propane,CO2 and Nitrogen,A
Who does ozone depletion affect?,People all over the world,Only people in the southern hemisphere,Only people near the poles,Only technicians handling refrigerants,A
"The Clean Air Act states that it is a violation to purposely vent refrigerants that deplete ozone.",True,False,,,A
